Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
complete,# 13146 : LOW-BEAM HEADLAMPS INOPERATIVE,14V251,2014-12-04,"General Motors has decided that a defect which relates to motor vehicle safety exists in model year 2005-2007 Chevrolet Corvette vehicles. On these vehicles, when the engine is warm, the underhood bussed electrical center (UBEC) housing will expand, causing the headlamp low-beam relay control circuit routed wire to bend slightly. After the wire is repeatedly bent, it can fracture and separate. When this occurs, the low-beam headlamps will not illuminate. As the UBEC housing cools and contracts, the low-beam headlamp function may return. This condition does not affect the high-beam headlamps, marker lamps, turn signals, daytime running lamps or fog lamps.","Loss of low beam headlamps when they are required could reduce the driver's visibility, increasing the risk of a crash.",Dealers are to replace the UBEC.,https://www.chevrolet.com/ownercenter/api/1G1YY26U575119525/gfas?cb=16777551996700.4782935067564471
complete,# 14350 : UNINTENDED IGNITION KEY ROTATION,14V400,2014-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ND52J4Y6234317/gfas?cb=16777551996700.4782935067564471
complete,High Voltage Battery May Melt or Burn,21V650,2022-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2020-2022 model year Chevrolet Bolt EV, and 2022 model year Chevrolet Bolt EUV vehicles.  The high voltage batteries in these vehicles may pose a risk of fire when charged to full, or very close to full, capacity.","The high voltage batteries in these vehicles may pose a risk of fire when charged to full, or very close to full, capacity.",Dealers will replace defective battery modules.,https://www.chevrolet.com/ownercenter/api/1G1FY6S06N4104861/gfas?cb=16777551996700.4782935067564471
complete,High Voltage Battery May Melt or Burn,21V650,2021-08-20,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2020-22 model year Chevrolet Bolt EV and 2022 model year Chevrolet Bolt EUV vehicles. The high voltage batteries in some vehicles may pose a risk of fire when charged to full, or very close to full, capacity.","The high voltage batteries in some vehicles may pose a risk of fire when charged to full, or very close to full, capacity.","Dealers will replace defective lithium ion battery modules with new lithium ion battery modules as parts become available.  Until the updated recall remedy is performed, customers should take the following interim steps: 1.Customers should set their vehicle’s high-voltage battery system to a 90% state of charge limitation using Target Charge Level mode.   If customers are unable to successfully make these changes, or do not feel comfortable making these changes, customers should visit their dealer to have these adjustments completed. 2.Additionally, we ask that customers charge their vehicle more frequently and avoid depleting their battery below approximately 70 miles (113 KM) of remaining range, where possible.    3.Out of an abundance of caution, customers should continue to park their vehicles outside immediately after charging and not leave their vehicles charging indoors overnight.",https://www.chevrolet.com/ownercenter/api/1G1FY6S06N4104861/gfas?cb=16777551996700.4782935067564471
incomplete,Loss of Continuity within Accelerator Pedal Position Sensor Circuit,,2019-08-15,"Some 2017-2018 model year Buick LaCrosse, 2018 model year Buick Regal, 2016-2018 model year Chevrolet Malibu vehicles may have a condition that affects the electrical connection to one of the vehicle’s accelerator pedal position sensors. If this electrical connection is interrupted, the accelerator pedal will still function, but the vehicle will enter a reduced engine power mode where the vehicle’s maximum acceleration and torque are reduced. Additionally, the Malfunction Indicator Light (Check Engine Light) will illuminate, the ‘Engine Power is Reduced’ message will display, and a diagnostic trouble code for Accelerator Pedal Position Sensor Correlation (P2138) will be set when this condition occurs.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the accelerator pedal and position sensor assembly as necessary and repair the engine wire harness (Malibu LFV only). The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1ZE5ST5HF275023/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G11B5SA4DF170729/gfas?cb=16777551996700.4782935067564471
incomplete,# 15824 : 2013 Malibu_ATS Camshaft Actuator Valve,,2016-06-16,"Some 2013 model year Cadillac ATS and Chevrolet Malibu vehicles equipped with 2.0L or 2.5L engine, may have a condition where a wire within the intake or exhaust camshaft position actuator solenoid may break. If this were to occur, the Malfunction Indicator Light would illuminate in the instrument panel. In addition, an internal diagnostic trouble code (DTC) P0010 (Intake Camshaft Position Actuator Solenoid Valve Control Circuit) or DTC P0013 (Exhaust Camshaft Position Actuator Solenoid Valve Control Circuit) may set in the vehicle’s computer.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Replace the intake or exhaust camshaft position actuator solenoid valve as necessary.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G11B5SA4DF170729/gfas?cb=16777551996700.4782935067564471
complete,# 12292 : KNOCK SENSOR WIRING HARNESS CONNECTIONS REVERSED,,2012-12-19,,,,https://www.chevrolet.com/ownercenter/api/1G11B5SA4DF170729/gfas?cb=16777551996700.4782935067564471
complete,# 12212 : Turn Signal Lamp Outage Indicator Not Working,12V484,2014-07-23,"General Motors has decided that certain 2011-2013 MY Buick Regal built with RPO TT4 or T4A and 2013 MY Chevrolet Malibu built with RPO T4A vehicles fail to conform to Federal Motor Vehicle Safety Standard 108 - Lamps, Reflective Devices, and Associated Equipment.","The subject vehicles are equipped with front turn single that utilize 2 bulbs in each front turn signal.  In certain subject vehicles if both front turn signal bulbs burn out in either front turn signal lamp, the failure of the turn signal lamp is indicated to the driver by the turn signal arrow flashing rapidly in the instrument cluster; however, if one of the two front turn signal bulbs on either side burns out, there is no indication to the driver.",Dealers are to reflash the body control module free of charge.,https://www.chevrolet.com/ownercenter/api/1G11B5SA4DF170729/gfas?cb=16777551996700.4782935067564471
incomplete,Rear Suspension Toe Link May Break,20V764,2020-12-21,"General Motors has decided that a defect which relates to motor vehicle safety exists in the certain 2010 – 2013 Buick LaCrosse, 2012 – 2013 Buick Regal, and 2013 Chevrolet Malibu vehicles that were ever registered in Connecticut, Delaware, the District of Columbia, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia, or Wisconsin (collectively, “Corrosion States”).  These vehicles may have rear toe links that received excessive electrocoating (e-coat) corrosion protection, which could cause the e-coat to become brittle and break away when contacted by road debris.  Over time, the e-coat may chip away, exposing the metal toe link and making it more susceptible to corrosion.  Corrosion may eventually cause the toe link to thin and ultimately to fracture.","A rear toe link fracture may reduce the ability to control the vehicle, increasing the risk of a crash.",Dealers will replace rear suspension toe links and adjuster fasteners.,https://www.chevrolet.com/ownercenter/api/1G11B5SA4DF170729/gfas?cb=16777551996700.4782935067564471
